Phone Issues,Time of Issue,Caller ID Number,Advertiser Business Phone Number,Type of Call or Message (Robocalls),Type of Call or Message (Telemarketing),State,Date (Ticket Date of Issue),Date (Ticket Created)
Robocalls,3:16 PM,661-249-4351,-,Prerecorded Voice,,Wisconsin,10/1/2015,10/1/2015
Robocalls,3:24 PM,-,800-903-2319,Abandoned Call,,South Carolina,10/1/2015,10/1/2015
Robocalls,3:25 PM,307-271-4212,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,3:25 PM,415-254-2353,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,3:28 PM,-,728-726-6621,Prerecorded Voice,,Louisiana,10/1/2015,10/1/2015
Robocalls,3:30 PM,-,-,Abandoned Call,,Illinois,10/1/2015,10/1/2015
Robocalls,3:30 PM,213-503-8127,-,Prerecorded Voice,,Michigan,10/1/2015,10/1/2015
Robocalls,3:32 p.m.,845-582-7027,-,Prerecorded Voice,,Michigan,10/1/2015,10/1/2015
Robocalls,3:33 PM,509-203-4357,509-203-4357,Prerecorded Voice,,Georgia,10/1/2015,10/1/2015
Robocalls,3:34 PM,571-281-1348,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,3:37 PM,703-260-6318,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,3:39 p.m.,-,-,Prerecorded Voice,,Minnesota,10/1/2015,10/1/2015
Robocalls,3:43 PM,947-770-3877,-,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,3:44 p.m.,-,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,3:45 PM,623-204-1152,-,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,3:55 p.m.,330-238-7047,-,Prerecorded Voice,,North Carolina,10/1/2015,10/1/2015
Robocalls,3:55 P.M.,714-555-1234,-,Abandoned Call,,Florida,10/1/2015,10/1/2015
Robocalls,3:59 PM,509-590-2186,-,Prerecorded Voice,,Connecticut,10/1/2015,10/1/2015
Robocalls,4:00 PM,-,214-269-8811,Abandoned Call,,New York,10/1/2015,10/1/2015
Robocalls,4:00 PM,405-415-1990,-,Abandoned Call,,Georgia,10/1/2015,10/1/2015
Robocalls,4:00 P.M.,267-233-6724,-,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,4:12 PM,706-357-9130,-,Abandoned Call,,Maryland,10/1/2015,10/1/2015
Robocalls,4:17 PM,-,-,Prerecorded Voice,,North Carolina,10/1/2015,10/1/2015
Robocalls,4:20 p.m.,614-591-4211,614-591-4211,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,4:21 p.m.,-,-,Prerecorded Voice,,Massachusetts,10/1/2015,10/1/2015
Robocalls,4:22 PM,617-318-4012,-,Prerecorded Voice,,New York,10/1/2015,10/1/2015
Robocalls,4:40 PM,603-285-9412,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,4:41 PM,703-260-6318,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,4:52 PM,551-256-8237,-,Abandoned Call,,New Jersey,10/1/2015,10/1/2015
Robocalls,4:55 PM,-,-,Abandoned Call,,Oklahoma,10/1/2015,10/1/2015
Robocalls,4:55 PM,321-246-3408,-,Prerecorded Voice,,Maryland,10/1/2015,10/1/2015
Robocalls,5:00 p.m.,-,386-454-0521,Abandoned Call,,Georgia,10/1/2015,10/1/2015
Robocalls,5:00 PM,305-233-9086,-,Abandoned Call,,Florida,10/1/2015,10/1/2015
Robocalls,5:04 P.M.,204-573-7979,-,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,5:05 P.M.,415-946-5707,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,5:09 PM,703-763-4576,-,Abandoned Call,,Virginia,10/1/2015,10/1/2015
Robocalls,5:15 PM,631-223-4242,-,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,5:27 PM,405-225-3762,-,Autodialed Live Voice Call,,Florida,10/1/2015,10/1/2015
Robocalls,6:00 PM,509-590-2186,-,Prerecorded Voice,,Ohio,10/1/2015,10/1/2015
Robocalls,6:11 A.M.,360-861-4105,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,6:15 PM,212-238-6230,-,Abandoned Call,,New York,10/1/2015,10/1/2015
Robocalls,6:15 PM,458-215-1551,-,Abandoned Call,,Oregon,10/1/2015,10/1/2015
Robocalls,6:45 PM,480-721-2710,-,Prerecorded Voice,,New Hampshire,10/1/2015,10/1/2015
Robocalls,6:48 p.m.,763-445-4982,-,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,6:52 PM,208-843-1982,-,Abandoned Call,,New Jersey,10/1/2015,10/1/2015
Robocalls,7:28 PM,-,213-503-8127,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,7:30 AM,614-468-5109,614-468-5109,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,7:32 AM,728-726-6394,-,Prerecorded Voice,,Oregon,10/1/2015,10/1/2015
Robocalls,7:33 AM,509-560-4524,509-560-4524,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,7:45 A.M.,-,347-535-4483,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,8:04 a.m.,862-229-1936,-,Autodialed Live Voice Call,,Colorado,10/1/2015,10/1/2015
Robocalls,8:12 AM,248-298-4551,844-264-9373,Autodialed Live Voice Call,,California,10/1/2015,10/1/2015
Robocalls,8:15 a.m.,206-900-8701,206-900-8701,Prerecorded Voice,,Indiana,10/1/2015,10/1/2015
Robocalls,8:26 AM,903-467-3586,-,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,8:37 AM,216-487-7013,-,Prerecorded Voice,,Ohio,10/1/2015,10/1/2015
Robocalls,8:40 AM,613-636-0015,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,8:40 a.m.,213-217-9999,-,Prerecorded Voice,,Washington,10/1/2015,10/1/2015
Robocalls,8:45 AM,248-215-0582,-,Abandoned Call,,Michigan,10/1/2015,10/1/2015
Robocalls,8:47 AM,-,516-693-8143,Prerecorded Voice,,Ohio,10/1/2015,10/1/2015
Robocalls,8:55 AM,202-657-4067,202-657-4067,Prerecorded Voice,,Illinois,10/1/2015,10/1/2015
Robocalls,8:56 AM,-,713-714-5831,Prerecorded Voice,,Virginia,10/1/2015,10/1/2015
Robocalls,8:59 AM,-,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Robocalls,9:00 AM,240-573-7979,-,Autodialed Live Voice Call,,Connecticut,10/1/2015,10/1/2015
Robocalls,9:00 AM,314-449-9388,314-449-9388,Prerecorded Voice,,Minnesota,10/1/2015,10/1/2015
Robocalls,9:00 a.m.,443-632-9065,-,Prerecorded Voice,,Maryland,10/1/2015,10/1/2015
Robocalls,9:00 AM,918-760-6149,-,Prerecorded Voice,,Oklahoma,10/1/2015,10/1/2015
Robocalls,9:00 AM,954-858-5445,-,Prerecorded Voice,,Florida,10/1/2015,10/1/2015
Robocalls,9:00 PM,-,-,Abandoned Call,,Florida,10/1/2015,10/1/2015
Robocalls,9:00 PM,718-484-6250,718-559-4093,Autodialed Live Voice Call,,North Carolina,10/1/2015,10/1/2015
Robocalls,9:06 AM,213-503-8127,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,9:19 AM,303-641-8429,-,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,9:25 AM,-,262-995-0990,Prerecorded Voice,,Wisconsin,10/1/2015,10/1/2015
Robocalls,9:28 AM,818-697-0463,-,Prerecorded Voice,,Arizona,10/1/2015,10/1/2015
Robocalls,9:30 AM,-,312-877-0518,Abandoned Call,,Illinois,10/1/2015,10/1/2015
Robocalls,9:30 AM,202-302-4617,-,Prerecorded Voice,,District of Columbia,10/1/2015,10/1/2015
Robocalls,9:30 AM,866-459-2530,866-459-2530,Abandoned Call,,Florida,10/1/2015,10/1/2015
Robocalls,9:30 a.m.,502-528-6038,-,Prerecorded Voice,,Kentucky,10/1/2015,10/1/2015
Robocalls,9:33 A.M.,209-289-0188,-,Prerecorded Voice,,California,10/1/2015,10/1/2015
Robocalls,9:40 AM,-,-,Autodialed Live Voice Call,,Georgia,10/1/2015,10/1/2015
Robocalls,9:41 AM,720-692-8836,000-000-0000,Prerecorded Voice,,Colorado,10/1/2015,10/1/2015
Robocalls,9:45 AM,-,-,Prerecorded Voice,,Massachusetts,10/1/2015,10/1/2015
Robocalls,9:45 AM,803-403-0180,-,Prerecorded Voice,,Georgia,10/1/2015,10/1/2015
Robocalls,9:53 PM,-,813-496-7765,Abandoned Call,,North Carolina,10/1/2015,10/1/2015
Robocalls,9:58 AM,786-452-4865,-,Prerecorded Voice,,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,-,-,,,Georgia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,-,-,,Prerecorded Voice,Colorado,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,-,617-874-4744,,Live Voice,New York,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,321-203-5459,-,,Live Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),-,925-523-0317,-,,Prerecorded Voice,North Carolina,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:24 PM,901-267-0224,-,,Prerecorded Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),05:13 P.M.,-,424-811-4521,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),05:20 P.M.,-,805-896-5565,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),7:50 PM,860-649-1601,888-246-9292,,Live Voice,Connecticut,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),08:00 P.M.,-,-,,Abandoned Calls,New York,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 AM,-,617-947-7532,,Prerecorded Voice,Massachusetts,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 AM,209-289-0188,209-289-0188,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 AM,714-699-2847,-,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 AM,719-465-0189,-,,Prerecorded Voice,Colorado,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 a.m.,-,-,,Abandoned Calls,Missouri,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:00 AM,919-345-4820,-,,Prerecorded Voice,North Carolina,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:05 AM,631-505-0143,631-505-0143,,Abandoned Calls,Arizona,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:08 AM,214-598-1069,-,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,-,-,,Live Voice,New York,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,-,360-637-4945,,Prerecorded Voice,Michigan,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,907-375-2930,-,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,951-847-4739,-,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,978-912-7271,978-912-7271,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 p.m.,612-866-5797,-,,Live Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 p.m.,786-701-4001,-,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:00 PM,213-858-1742,-,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:15 AM,763-445-4982,-,,Prerecorded Voice,Michigan,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:20 AM,707-361-4694,-,,Prerecorded Voice,Connecticut,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:20 AM,866-831-4847,-,,Abandoned Calls,Wisconsin,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:20 a.m.,304-743-8823,-,,Live Voice,Washington,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:21 AM,567-263-0009,-,,Live Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:21 AM,321-203-5459,-,,Prerecorded Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:22 AM,509-320-4231,509-320-4231,,Prerecorded Voice,Idaho,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:22 A.M.,-,650-238-9971,,Prerecorded Voice,Nebraska,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:24 AM,-,-,,Abandoned Calls,New York,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:24 AM,954-858-5445,-,,Abandoned Calls,Kentucky,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:26 AM,703-408-1320,-,,Prerecorded Voice,Virginia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:28 AM,-,-,,Prerecorded Voice,Georgia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:28 AM,202-559-6494,-,,Live Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:02 PM,215-763-3788,-,,Prerecorded Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:02 p.m.,267-233-6724,-,,Live Voice,Maine,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:30 AM,950-654-1605,-,,Prerecorded Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:34 AM,321-233-5143,-,,Abandoned Calls,Nevada,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:35 AM,610-265-9391,-,,Live Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:35 AM,-,-,,Abandoned Calls,Illinois,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:39 a.m.,817-339-6591,817-339-6555,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:43 AM,518-478-2354,-,,Live Voice,Minnesota,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:45 AM,-,813-209-1025,,Live Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:45 AM,728-726-6394,-,,Prerecorded Voice,Utah,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:48 AM,832-963-3916,-,,Prerecorded Voice,Virginia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:49 AM,763-275-1243,-,,Live Voice,Minnesota,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:49 a.m.,210-538-7146,210-538-7146,,Prerecorded Voice,Virginia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:49 a.m.,469-248-4184,-,,Live Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:50 AM,225-931-8595,-,,Prerecorded Voice,Louisiana,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:50 AM,707-361-4694,-,,Prerecorded Voice,New Hampshire,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:51 a.m.,240-715-9326,-,,Live Voice,Louisiana,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),10:55 AM,832-462-3513,-,,Prerecorded Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,-,-,,Prerecorded Voice,Indiana,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,202-470-3314,-,,Live Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,219-212-2276,-,,Prerecorded Voice,Michigan,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,404-454-8596,-,,Prerecorded Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,562-229-6207,360-861-4105,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,615-477-1799,-,,Prerecorded Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:00 AM,855-849-4255,-,,Live Voice,Utah,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:03 AM,303-478-1169,-,,Prerecorded Voice,Colorado,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:03 AM,800-388-2200,-,,Live Voice,Arkansas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:05 AM,-,-,,Prerecorded Voice,Illinois,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:06 AM,646-866-9198,-,,Prerecorded Voice,New Jersey,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:09 AM,512-671-1187,512-671-1187,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:10 AM,987-258-9696,-,,Live Voice,West Virginia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:10 a.m.,305-790-2000,-,,Prerecorded Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:12 a.m.,631-636-0015,-,,Prerecorded Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:12 a.m.,870-261-1396,-,,Prerecorded Voice,Colorado,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:12 A.M.,971-301-6339,-,,Live Voice,Oregon,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:15 AM,480-231-6926,-,,Prerecorded Voice,Arizona,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:18 AM,952-777-8073,-,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:21 a.m.,330-577-1035,-,,Live Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:25 AM,201-374-3194,-,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:25 AM,843-928-4444,843-928-4444,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:25 AM,876-254-1483,876-254-1483,,Live Voice,Alabama,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:26 AM,302-331-2969,302-331-2969,,Live Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:30 AM,-,-,,Live Voice,Tennessee,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:30 AM,-,360-637-4945,,Prerecorded Voice,Ohio,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:30 AM,214-306-6695,-,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:30 AM,408-124-5895,949-205-7336,,Abandoned Calls,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:31 AM,-,-,,Abandoned Calls,District of Columbia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:13 PM,-,-,,Abandoned Calls,District of Columbia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:40 AM,630-442-1617,-,,Prerecorded Voice,Illinois,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:43 AM,786-298-5682,786-298-5682,,Abandoned Calls,Ohio,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:45 AM,850-610-7399,-,,Live Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:48 a.m.,-,720-692-8836,,Prerecorded Voice,Minnesota,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:49 A.M.,352-368-8283,-,,Abandoned Calls,Nevada,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:14 PM,801-902-7000,800-347-0354,,Live Voice,Wisconsin,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:50 AM,-,-,,Abandoned Calls,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:50 A.M.,213-217-9999,-,,Live Voice,Virginia,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:53 AM,646-205-3834,-,,Live Voice,Ohio,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:53 AM,909-732-1874,-,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),11:59 AM,710-935-3478,-,,Live Voice,Pennsylvania,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),1:19 PM,714-555-1234,-,,Abandoned Calls,Oklahoma,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 PM,-,-,,Prerecorded Voice,North Carolina,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 PM,-,210-714-4725,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 PM,213-217-9999,-,,Abandoned Calls,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 p.m.,337-422-4137,-,,Prerecorded Voice,Wisconsin,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 p.m.,512-640-5470,512-640-5470,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:00 p.m.,561-243-0164,-,,Prerecorded Voice,Florida,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:02 PM,202-751-2572,202-751-2572,,Live Voice,Texas,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:05 p.m.,-,-,,Live Voice,Minnesota,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:06 PM,302-543-2206,-,,Live Voice,Delaware,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:09 PM,202-770-4834,-,,Prerecorded Voice,Montana,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:10 PM,509-203-4357,509-203-4357,,Prerecorded Voice,California,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:16 P.M.,313-989-0088,-,,Live Voice,North Carolina,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:19 PM,469-619-6420,469-619-6420,,Live Voice,Ohio,10/1/2015,10/1/2015
Telemarketing (including do not call and spoofing),12:20 p.m.,-,-,,Prerecorded Voice,Maryland,10/1/2015,10/1/2015
